series,origin,date,h,model,actual,forecast,abs_err,ape,sq_err
revenue,2018-05-25,2018-05-25,1,naive,15888.92,20073.26,4184.339999999998,26.334955428059292,17508701.235599987
revenue,2018-05-25,2018-05-25,1,seasonal_naive,15888.92,31621.52,15732.6,99.01616975854873,247514702.76000002
revenue,2018-05-25,2018-05-25,1,linear_regression,15888.92,34139.41163682862,18250.49163682862,114.863009171351,333080444.9859514
revenue,2018-05-25,2018-05-25,1,sarima,15888.92,23631.939048995646,7743.019048995646,48.73219230127438,59954343.993109435
revenue,2018-05-25,2018-05-25,1,ensemble,15888.92,28885.67534291213,12996.75534291213,81.79760073631267,168915649.44351503
revenue,2018-05-25,2018-05-31,7,naive,25111.28,20073.26,5038.02,20.062776568936354,25381645.520400003
revenue,2018-05-25,2018-05-31,7,seasonal_naive,25111.28,20073.26,5038.02,20.062776568936354,25381645.520400003
revenue,2018-05-25,2018-05-31,7,linear_regression,25111.28,37189.255518613216,12077.975518613217,48.09780910655776,145877492.6282202
revenue,2018-05-25,2018-05-31,7,sarima,25111.28,25053.886625824354,57.39337417564457,0.22855614757847698,3293.9993992655445
revenue,2018-05-25,2018-05-31,7,ensemble,25111.28,31121.571072218787,6010.291072218788,23.93462647948965,36123598.77279287
revenue,2018-05-26,2018-05-26,1,naive,14799.17,15888.92,1089.75,7.363588633686889,1187555.0625
revenue,2018-05-26,2018-05-26,1,seasonal_naive,14799.17,25081.39,10282.22,69.47835588076899,105724048.12839998
revenue,2018-05-26,2018-05-26,1,linear_regression,14799.17,26447.276424552736,11648.106424552736,78.70783580804014,135678383.2777067
revenue,2018-05-26,2018-05-26,1,sarima,14799.17,16169.98180732267,1370.8118073226706,9.2627614070429,1879125.0110952465
revenue,2018-05-26,2018-05-26,1,ensemble,14799.17,21308.629115937703,6509.459115937703,43.98529860754153,42373057.98206446
revenue,2018-05-26,2018-06-01,7,naive,32298.92,15888.92,16410.0,50.806652358654716,269288100.0
revenue,2018-05-26,2018-06-01,7,seasonal_naive,32298.92,15888.92,16410.0,50.806652358654716,269288100.0
revenue,2018-05-26,2018-06-01,7,linear_regression,32298.92,32925.48416709324,626.5641670932382,1.939892005965643,392582.65548524336
revenue,2018-05-26,2018-06-01,7,sarima,32298.92,23369.61943950267,8929.30056049733,27.64581775643684,79732408.49969792
revenue,2018-05-26,2018-06-01,7,ensemble,32298.92,28147.551803297953,4151.368196702046,12.852962875235598,17233857.904589195
revenue,2018-05-27,2018-05-27,1,naive,12523.25,14799.17,2275.92,18.173557183638433,5179811.8464
revenue,2018-05-27,2018-05-27,1,seasonal_naive,12523.25,19528.55,7005.299999999999,55.938354660331775,49074228.08999999
