date,metric,severity,source,current,reference,scenario,score,financial_impact,action,violations,completed
2017-05-07,revenue,medium,detector,17167.87,8002.905,Inventory Clearance,0.5939310552211776,3324.2342500000013,request_human_approval,"['min_confidence_auto_approve', 'critical_metrics']",True
2017-06-21,orders,high,threshold,35.0,38.625,Checkout Optimization,0.5825,-1200.0,request_human_approval,['min_confidence_auto_approve'],True
2017-06-26,orders,medium,detector,72.0,150.0,Checkout Optimization,0.8325,360.0,auto_approve,[],True
2017-07-06,revenue,medium,detector,22223.72,12417.650000000001,Inventory Clearance,0.6064321396237893,3612.7315000000017,request_human_approval,"['min_confidence_auto_approve', 'critical_metrics']",True
2017-07-09,delivery_delay,medium,detector,11.983394907407408,10.317276427469135,Express Carrier Upgrade,0.6510591262898394,-1125.4522540509245,request_human_approval,['min_confidence_auto_approve'],True
2017-07-14,orders,medium,detector,149.0,100.5,Checkout Optimization,0.6336744966442953,-230.0,request_human_approval,['min_confidence_auto_approve'],True
2017-07-17,customer_satisfaction,medium,detector,3.25,3.6013071895424833,Service Recovery Credits,0.687471342383107,124.18300653594724,request_human_approval,['min_confidence_auto_approve'],True
2017-07-18,revenue,medium,detector,28238.2,16082.925,Inventory Clearance,0.6078885720407108,4669.8737500000025,request_human_approval,"['min_confidence_auto_approve', 'critical_metrics']",True
2017-08-23,orders,medium,detector,111.0,146.5,Checkout Optimization,0.730472972972973,-490.0,request_human_approval,['min_confidence_auto_approve'],True
2017-08-29,revenue,medium,detector,33756.48,20203.335,Inventory Clearance,0.611797826817251,5298.915250000002,request_human_approval,"['min_confidence_auto_approve', 'critical_metrics']",True
2017-09-02,delivery_delay,high,detector,12.04132208994709,9.967835250998547,Express Carrier Upgrade,0.6455873949828036,-789.3733578674523,request_human_approval,['min_confidence_auto_approve'],True
2017-09-03,revenue,high,detector,27741.420000000002,13120.83,Inventory Clearance,0.5948508068440621,5779.265500000001,request_human_approval,"['min_confidence_auto_approve', 'critical_metrics']",True
2017-09-04,customer_satisfaction,high,detector,4.25,3.6747685185185186,Service Recovery Credits,0.6582581699346405,840.7407407407418,request_human_approval,['min_confidence_auto_approve'],True
2017-09-08,revenue,medium,detector,11573.57,18135.675,Inventory Clearance,0.7425437263523701,2152.9472499999993,request_human_approval,"['min_confidence_auto_approve', 'critical_metrics']",True
2017-09-10,delivery_delay,high,detector,12.454260106142728,9.967835250998547,Express Carrier Upgrade,0.6410586532156622,-448.69949450605054,request_human_approval,['min_confidence_auto_approve'],True
2017-09-19,delivery_delay,medium,threshold,27.670926623653795,23.9304023789879,Express Carrier Upgrade,0.5700000000000001,-2500.0,request_human_approval,['min_confidence_auto_approve'],True
2017-09-23,revenue,medium,detector,10302.51,16605.595,Inventory Clearance,0.7485931229380025,2036.38825,request_human_approval,"['min_confidence_auto_approve', 'critical_metrics']",True
2017-09-29,revenue,medium,detector,30878.559999999998,16981.695,Inventory Clearance,0.6052433852161501,5453.589249999997,request_human_approval,"['min_confidence_auto_approve', 'critical_metrics']",True
2017-10-02,customer_satisfaction,high,detector,4.228571428571429,3.7804232804232805,Service Recovery Credits,0.6617822822822823,434.0740740740757,request_human_approval,['min_confidence_auto_approve'],True
2017-10-09,customer_satisfaction,high,detector,4.25,3.7804232804232805,Service Recovery Credits,0.6612413632119515,502.6455026454996,request_human_approval,['min_confidence_auto_approve'],True
2017-10-13,customer_satisfaction,high,detector,3.116279069767442,4.189334637964775,Service Recovery Credits,0.7158206472529719,2433.777818231466,request_human_approval,['min_confidence_auto_approve'],True
2017-10-30,customer_satisfaction,high,detector,3.338235294117647,4.114285714285714,Service Recovery Credits,0.7023967904342354,1483.3613445378155,request_human_approval,['min_confidence_auto_approve'],True
2017-11-03,customer_satisfaction,high,threshold,2.966666666666667,3.0,Service Recovery Credits,0.5825,-1000.0,request_human_approval,['min_confidence_auto_approve'],True
